Name,Neighborhood,Slug,Stamp URL,QR Image URL
"Varasano's Pizzaria","Buckhead","varasanos","https://atlantapassport.replit.app/stamp/varasanos","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fvarasanos"
"Atlantucky Brewing","Castleberry Hill","atlantucky","https://atlantapassport.replit.app/stamp/atlantucky","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fatlantucky"
"Wheelhaus E-bikes","EAV","wheelhaus","https://atlantapassport.replit.app/stamp/wheelhaus","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fwheelhaus"
"Vickery's Bar & Grill","Glennwood Park","vickerys","https://atlantapassport.replit.app/stamp/vickerys","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fvickerys"
"Peachtree Wellness","Grant Park","peachtree-wellness","https://atlantapassport.replit.app/stamp/peachtree-wellness","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fpeachtree-wellness"
"Hop City at Krog St Market","Inman Park","hop-city-krog","https://atlantapassport.replit.app/stamp/hop-city-krog","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fhop-city-krog"
"Nakato Japanese Restaurant","Piedmont Heights","nakato","https://atlantapassport.replit.app/stamp/nakato","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fnakato"
"La Semilla","Reynoldstown","la-semilla","https://atlantapassport.replit.app/stamp/la-semilla","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fla-semilla"
"BoxCar at Hop City","West End","boxcar","https://atlantapassport.replit.app/stamp/boxcar","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fboxcar"
"The Westwood","West End","westwood","https://atlantapassport.replit.app/stamp/westwood","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fwestwood"
"Trap Museum","Westside","trap-museum","https://atlantapassport.replit.app/stamp/trap-museum","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Ftrap-museum"
"MLK Mural","Westside","event-mlk-mural","https://atlantapassport.replit.app/stamp/event-mlk-mural","https://api.qrserver.com/v1/create-qr-code/?size=600x600&margin=10&data=https%3A%2F%2Fatlantapassport.replit.app%2Fstamp%2Fevent-mlk-mural"
